PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
9,https://tranvas.com/terms-of-service,,text/html; charset=utf-8,false,404,0,1,false,3,https://tranvas.com/en/terms-of-service
9,https://tranvas.com/privacy-policy,,text/html; charset=utf-8,false,404,0,1,false,3,https://tranvas.com/en/privacy-policy
9,https://tranvas.com/contact,,text/html; charset=utf-8,false,404,0,1,false,3,https://tranvas.com/en/contact
9,https://tranvas.com/features,,text/html; charset=utf-8,false,404,0,1,false,3,https://tranvas.com/en/features
3,https://tranvas.com/id/features,,text/html; charset=utf-8,false,404,0,0,false,1,
3,https://tranvas.com/id/terms-of-service,,text/html; charset=utf-8,false,404,0,0,false,1,
3,https://tranvas.com/id/contact,,text/html; charset=utf-8,false,404,0,0,false,1,
3,https://tranvas.com/id/privacy-policy,,text/html; charset=utf-8,false,404,0,0,false,1,
