PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
20,https://tranvas.com/id/terms-of-service,Terms of Service — User Agreement & Usage Rules | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/terms-of-service
https://tranvas.com/terms-of-service
https://tranvas.com/terms-of-service","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/login,Log In — Welcome Back | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/login
https://tranvas.com/login
https://tranvas.com/login","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/solutions/freelancer,For Freelancers — Scale Your Workflow | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/solutions/freelancer
https://tranvas.com/solutions/freelancer
https://tranvas.com/solutions/freelancer","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/contact,Contact Us — Get in Touch with Support | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/contact
https://tranvas.com/contact
https://tranvas.com/id
https://tranvas.com/id/contact","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/register,Sign Up — Start Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/register
https://tranvas.com/register
https://tranvas.com/register","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/privacy-policy,Privacy Policy — How We Protect Your Data | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/privacy-policy
https://tranvas.com/privacy-policy
https://tranvas.com/privacy-policy","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/solutions/personalgrowth,Personal Growth — Master Your Self-System | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/solutions/personalgrowth
https://tranvas.com/solutions/personalgrowth
https://tranvas.com/solutions/personalgrowth","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/features/goal,Goal Tracker — Track Your Milestones,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/features/goal
https://tranvas.com/features/goal
https://tranvas.com/id
https://tranvas.com/id/features/goal","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/features/job,Job Tracker — Manage Career Growth,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/features/job
https://tranvas.com/features/job
https://tranvas.com/id
https://tranvas.com/id/features/job","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/about,About Us — Our Mission | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/about
https://tranvas.com/about
https://tranvas.com/id
https://tranvas.com/id/about","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/features/habit,Habit Tracker — Build Consistency Every Day,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/features/habit
https://tranvas.com/features/habit
https://tranvas.com/id
https://tranvas.com/id/features/habit","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/solutions/mental-clarity,Mental Health — Journaling & Mindfulness | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/solutions/mental-clarity
https://tranvas.com/solutions/mental-clarity
https://tranvas.com/solutions/mental-clarity","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/resources/guide,User Guide — Master the OS | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/resources/guide
https://tranvas.com/resources/guide
https://tranvas.com/resources/guide","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/features/finance,Finance OS — Master Your Money Flow,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/features/finance
https://tranvas.com/features/finance
https://tranvas.com/id
https://tranvas.com/id/features/finance","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/solutions/finance-mastery,Financial Clarity — Manage Assets & Cashflow | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/solutions/finance-mastery
https://tranvas.com/solutions/finance-mastery
https://tranvas.com/solutions/finance-mastery","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/features/calendar,Smart Calendar — Sync Your Schedules,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/features/calendar
https://tranvas.com/features/calendar
https://tranvas.com/id
https://tranvas.com/id/features/calendar","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/pricing,Pricing & Plans — Choose Your Journey | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/pricing
https://tranvas.com/pricing
https://tranvas.com/pricing","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
20,https://tranvas.com/id/resources/blog,Blog — Productivity Insights | Tranvas,text/html; charset=utf-8,false,200,0,true,"https://tranvas.com/
https://tranvas.com/
https://tranvas.com/id
https://tranvas.com/id/resources/blog
https://tranvas.com/resources/blog
https://tranvas.com/resources/blog","200
200
200
200
200
200","More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group
Some pages are not canonical",7447629139728485991,1,1
